Country,Date,No. of suspected cases,No. of probable cases,No. of confirmed cases,"No. of confirmed, probable and suspected cases",No. of suspected deaths,No. of probable deaths,No. of confirmed deaths,"No. of confirmed, probable and suspected deaths",Tpye 
Nigeria,6/30/2015,0,1,19,20,0,1,7,8,Ebola
United States of America,6/30/2015,0,0,4,4,0,0,1,1,Ebola
Sierra Leone,7/1/2015,4167,287,8665,13119,158,208,3566,3932,Ebola
Senegal,7/1/2015,0,0,1,1,0,0,0,0,Ebola
Spain,7/1/2015,0,0,1,1,0,0,0,0,Ebola
United Kingdom,7/1/2015,0,0,1,1,,,,0,Ebola
Guinea,7/1/2015,17,443,3269,3729,,443,2039,2482,Ebola
Italy,7/1/2015,0,0,1,1,,,,0,Ebola
Liberia,7/1/2015,5636,1879,3151,10666,,,,4806,Ebola
United States of America,7/1/2015,0,0,4,4,0,0,1,1,Ebola
Nigeria,7/1/2015,0,1,19,20,0,1,7,8,Ebola
Mali,7/1/2015,0,1,7,8,,,,6,Ebola
Senegal,7/2/2015,0,0,1,1,0,0,0,0,Ebola
Italy,7/2/2015,0,0,1,1,,,,0,Ebola
Liberia,7/2/2015,5636,1879,3151,10666,,,,4806,Ebola
Guinea,7/2/2015,18,450,3277,3745,,450,2040,2490,Ebola
United States of America,7/2/2015,0,0,4,4,0,0,1,1,Ebola
Spain,7/2/2015,0,0,1,1,0,0,0,0,Ebola
Nigeria,7/2/2015,0,1,19,20,0,1,7,8,Ebola
Mali,7/2/2015,0,1,7,8,,,,6,Ebola
Sierra Leone,7/2/2015,4174,287,8668,13129,158,208,3567,3933,Ebola
United Kingdom,7/2/2015,0,0,1,1,,,,0,Ebola
Liberia,7/3/2015,5636,1879,3151,10666,,,,4806,Ebola
United Kingdom,7/3/2015,0,0,1,1,,,,0,Ebola
Nigeria,7/3/2015,0,1,19,20,0,1,7,8,Ebola
Senegal,7/3/2015,0,0,1,1,0,0,0,0,Ebola
United States of America,7/3/2015,0,0,4,4,0,0,1,1,Ebola
Guinea,7/3/2015,21,450,3279,3750,,450,2042,2492,Ebola
Italy,7/3/2015,0,0,1,1,,,,0,Ebola
Liberia,7/3/2015,37,0,3,40,4,0,1,5,Ebola
Spain,7/3/2015,0,0,1,1,0,0,0,0,Ebola
Mali,7/3/2015,0,1,7,8,,,,6,Ebola
Sierra Leone,7/3/2015,4177,287,8671,13135,158,208,3569,3935,Ebola
United Kingdom,7/6/2015,0,0,1,1,,,,0,Ebola
Spain,7/6/2015,0,0,1,1,0,0,0,0,Ebola
Guinea,7/6/2015,7,450,3287,3744,,450,2048,2498,Ebola
United States of America,7/6/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,7/6/2015,,1,3,4,,,1,1,Ebola
Nigeria,7/6/2015,0,1,19,20,0,1,7,8,Ebola
Mali,7/6/2015,0,1,7,8,,,,6,Ebola
Sierra Leone,7/6/2015,4190,287,8673,13150,158,208,3574,3940,Ebola
Senegal,7/6/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,7/6/2015,5636,1879,3151,10666,,,,4806,Ebola
Italy,7/6/2015,0,0,1,1,,,,0,Ebola
Italy,7/7/2015,0,0,1,1,,,,0,Ebola
Spain,7/7/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,7/7/2015,,1,3,4,,,1,1,Ebola
Nigeria,7/7/2015,0,1,19,20,0,1,7,8,Ebola
United States of America,7/7/2015,0,0,4,4,0,0,1,1,Ebola
Sierra Leone,7/7/2015,4194,287,8674,13155,158,208,3574,3940,Ebola
Senegal,7/7/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,7/7/2015,5636,1879,3151,10666,,,,4806,Ebola
Guinea,7/7/2015,11,450,3287,3748,,450,2049,2499,Ebola
Mali,7/7/2015,0,1,7,8,,,,6,Ebola
United Kingdom,7/7/2015,0,0,1,1,,,,0,Ebola
Nigeria,7/8/2015,0,1,19,20,0,1,7,8,Ebola
Liberia,7/8/2015,,1,3,4,,,1,1,Ebola
United States of America,7/8/2015,0,0,4,4,0,0,1,1,Ebola
Spain,7/8/2015,0,0,1,1,0,0,0,0,Ebola
Sierra Leone,7/8/2015,4194,287,8674,13155,158,208,3574,3940,Ebola
Mali,7/8/2015,0,1,7,8,,,,6,Ebola
United Kingdom,7/8/2015,0,0,1,1,,,,0,Ebola
Guinea,7/8/2015,11,450,3287,3748,,450,2049,2499,Ebola
Italy,7/8/2015,0,0,1,1,,,,0,Ebola
Senegal,7/8/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,7/8/2015,5636,1879,3151,10666,,,,4806,Ebola
Liberia,7/9/2015,5636,1879,3151,10666,,,,4806,Ebola
Senegal,7/9/2015,0,0,1,1,0,0,0,0,Ebola
Nigeria,7/9/2015,0,1,19,20,0,1,7,8,Ebola
Liberia,7/9/2015,,1,5,6,,,1,1,Ebola
United Kingdom,7/9/2015,0,0,1,1,,,,0,Ebola
United States of America,7/9/2015,0,0,4,4,0,0,1,1,Ebola
Italy,7/9/2015,0,0,1,1,,,,0,Ebola
Sierra Leone,7/9/2015,4207,287,8675,13169,158,208,3575,3941,Ebola
Guinea,7/9/2015,4,450,3290,3744,,450,2055,2505,Ebola
Mali,7/9/2015,0,1,7,8,,,,6,Ebola
Spain,7/9/2015,0,0,1,1,0,0,0,0,Ebola
Senegal,7/10/2015,0,0,1,1,0,0,0,0,Ebola
Mali,7/10/2015,0,1,7,8,,,,6,Ebola
Sierra Leone,7/10/2015,4214,287,8676,13177,158,208,3575,3941,Ebola
Nigeria,7/10/2015,0,1,19,20,0,1,7,8,Ebola
Italy,7/10/2015,0,0,1,1,,,,0,Ebola
Guinea,7/10/2015,8,450,3293,3751,,450,2055,2505,Ebola
Liberia,7/10/2015,,1,5,6,,,1,1,Ebola
Spain,7/10/2015,0,0,1,1,0,0,0,0,Ebola
United States of America,7/10/2015,0,0,4,4,0,0,1,1,Ebola
United Kingdom,7/10/2015,0,0,1,1,,,,0,Ebola
Liberia,7/10/2015,5636,1879,3151,10666,,,,4806,Ebola
Nigeria,7/13/2015,0,1,19,20,0,1,7,8,Ebola
Liberia,7/13/2015,5636,1879,3151,10666,,,,4806,Ebola
Spain,7/13/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,7/13/2015,,1,5,6,,,1,1,Ebola
Senegal,7/13/2015,0,0,1,1,0,0,0,0,Ebola
Mali,7/13/2015,0,1,7,8,,,,6,Ebola
United Kingdom,7/13/2015,0,0,1,1,,,,0,Ebola
United States of America,7/13/2015,0,0,4,4,0,0,1,1,Ebola
Guinea,7/13/2015,5,450,3299,3754,,450,2056,2506,Ebola
Italy,7/13/2015,0,0,1,1,,,,0,Ebola
Sierra Leone,7/13/2015,4227,287,8687,13201,158,208,3580,3946,Ebola
Senegal,7/14/2015,0,0,1,1,0,0,0,0,Ebola
United Kingdom,7/14/2015,0,0,1,1,,,,0,Ebola
Liberia,7/14/2015,,1,6,7,,,2,2,Ebola
Guinea,7/14/2015,10,450,3300,3760,,450,2056,2506,Ebola
Spain,7/14/2015,0,0,1,1,0,0,0,0,Ebola
Liberia,7/14/2015,5636,1879,3151,10666,,,,4806,Ebola
Mali,7/14/2015,0,1,7,8,,,,6,Ebola
Italy,7/14/2015,0,0,1,1,,,,0,Ebola
United States of America,7/14/2015,0,0,4,4,0,0,1,1,Ebola
Sierra Leone,7/14/2015,4234,287,8688,13209,158,208,3581,3947,Ebola
Nigeria,7/14/2015,0,1,19,20,0,1,7,8,Ebola
Spain,7/15/2015,0,0,1,1,0,0,0,0,Ebola
Nigeria,7/15/2015,0,1,19,20,0,1,7,8,Ebola
Italy,7/15/2015,0,0,1,1,,,,0,Ebola
United Kingdom,7/15/2015,0,0,1,1,,,,0,Ebola
United States of America,7/15/2015,0,0,4,4,0,0,1,1,Ebola
Guinea,7/15/2015,10,450,3300,3760,,450,2056,2506,Ebola
Liberia,7/15/2015,5636,1879,3151,10666,,,,4806,Ebola
Liberia,7/15/2015,,1,6,7,,,2,2,Ebola
Mali,7/15/2015,0,1,7,8,,,,6,Ebola
Sierra Leone,7/15/2015,4234,287,8688,13209,158,208,3581,3947,Ebola
Senegal,7/15/2015,0,0,1,1,0,0,0,0,Ebola
Mali,7/16/2015,0,1,7,8,,,,6,Ebola
Italy,7/16/2015,0,0,1,1,,,,0,Ebola
Guinea,7/16/2015,8,450,3304,3762,,450,2056,2506,Ebola
Liberia,7/16/2015,5636,1879,3151,10666,,,,4806,Ebola
Spain,7/16/2015,0,0,1,1,0,0,0,0,Ebola
United Kingdom,7/16/2015,0,0,1,1,,,,0,Ebola
Senegal,7/16/2015,0,0,1,1,0,0,0,0,Ebola
United States of America,7/16/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,7/16/2015,,0,6,6,,,2,2,Ebola
Sierra Leone,7/16/2015,4234,287,8688,13209,158,208,3581,3947,Ebola
Nigeria,7/16/2015,0,1,19,20,0,1,7,8,Ebola
United States of America,7/17/2015,0,0,4,4,0,0,1,1,Ebola
Liberia,7/17/2015,5636,1879,3151,10666,,,,4806,Ebola
United Kingdom,7/17/2015,0,0,1,1,,,,0,Ebola
